name,type,id,uri,part_of_name,part_of_type,part_of_id
Tajikistan,country,179518,https://ismi.mpiwg-berlin.mpg.de/place/179518,null,null,null
Takrit,city,142459,https://ismi.mpiwg-berlin.mpg.de/place/142459,Iraq,country,173298
Taku,city,85640,https://ismi.mpiwg-berlin.mpg.de/place/85640,null,null,null
Tazeghedra,city,473519,https://ismi.mpiwg-berlin.mpg.de/place/473519,Morocco,country,173531
Tbilisi,city,87569,https://ismi.mpiwg-berlin.mpg.de/place/87569,Georgia,country,179183
Tehran,city,86384,https://ismi.mpiwg-berlin.mpg.de/place/86384,Iran,country,174469
Terjān,city,85113,https://ismi.mpiwg-berlin.mpg.de/place/85113,null,null,null
Test City,null,348362,https://ismi.mpiwg-berlin.mpg.de/place/348362,null,null,null
Tetuan,city,86874,https://ismi.mpiwg-berlin.mpg.de/place/86874,Morocco,country,173531
Tangier,city,87437,https://ismi.mpiwg-berlin.mpg.de/place/87437,Morocco,country,173531
"Tarim, Yemen",city,86233,https://ismi.mpiwg-berlin.mpg.de/place/86233,Yemen,country,178900
Tarsus,city,359019,https://ismi.mpiwg-berlin.mpg.de/place/359019,null,null,null
Tashkent,city,86548,https://ismi.mpiwg-berlin.mpg.de/place/86548,Uzbekistan,country,173272
Tiflis (Tbilisi),city,25277,https://ismi.mpiwg-berlin.mpg.de/place/25277,Georgia,country,179183
Tlemcen,city,321561,https://ismi.mpiwg-berlin.mpg.de/place/321561,Algeria,country,173275
Tokat,city,443439,https://ismi.mpiwg-berlin.mpg.de/place/443439,Turkey,country,174510
Toledo,city,140646,https://ismi.mpiwg-berlin.mpg.de/place/140646,Spain,country,174730
Tonk,city,86779,https://ismi.mpiwg-berlin.mpg.de/place/86779,null,null,null
Toronto,city,38689,https://ismi.mpiwg-berlin.mpg.de/place/38689,Canada,country,179459
Tortosa (Catalonia),city,108386,https://ismi.mpiwg-berlin.mpg.de/place/108386,Spain,country,174730
Trebizond (Trabzon),city,19074,https://ismi.mpiwg-berlin.mpg.de/place/19074,null,null,null
Tripoli,city,86507,https://ismi.mpiwg-berlin.mpg.de/place/86507,Libya,country,178992
Tübingen,city,86533,https://ismi.mpiwg-berlin.mpg.de/place/86533,Germany,country,174492
Tunis,city,86632,https://ismi.mpiwg-berlin.mpg.de/place/86632,Tunisia,country,173557
Tunisia,country,173557,https://ismi.mpiwg-berlin.mpg.de/place/173557,null,null,null
Turin,city,86305,https://ismi.mpiwg-berlin.mpg.de/place/86305,Italy,country,173763
Turkey,country,174510,https://ismi.mpiwg-berlin.mpg.de/place/174510,null,null,null
Turkmenistan,country,178885,https://ismi.mpiwg-berlin.mpg.de/place/178885,null,null,null
Ṭūs,city,85545,https://ismi.mpiwg-berlin.mpg.de/place/85545,null,null,null
Ufa,city,87257,https://ismi.mpiwg-berlin.mpg.de/place/87257,Russia,country,174659
UK,country,174533,https://ismi.mpiwg-berlin.mpg.de/place/174533,null,null,null
Ukraine,country,173857,https://ismi.mpiwg-berlin.mpg.de/place/173857,null,null,null
UNKNOWN,null,350677,https://ismi.mpiwg-berlin.mpg.de/place/350677,null,null,null
unknown city is part of Canada,city,179446,https://ismi.mpiwg-berlin.mpg.de/place/179446,Canada,country,179459
unknown city is part of Germany,city,177105,https://ismi.mpiwg-berlin.mpg.de/place/177105,Germany,country,174492
unknown city is part of Iran,city,173343,https://ismi.mpiwg-berlin.mpg.de/place/173343,Iran,country,174469
unknown city is part of Iraq,city,179801,https://ismi.mpiwg-berlin.mpg.de/place/179801,Iraq,country,173298
unknown city is part of Morocco,city,176454,https://ismi.mpiwg-berlin.mpg.de/place/176454,Morocco,country,173531
unknown city is part of unknown country,city,200570,https://ismi.mpiwg-berlin.mpg.de/place/200570,unknown country,country,200567
unknown country,country,200567,https://ismi.mpiwg-berlin.mpg.de/place/200567,null,null,null
Upal,city,155747,https://ismi.mpiwg-berlin.mpg.de/place/155747,null,null,null
